,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,266.9580993652344,525.248291015625,443.6065368652344,419.43634033203125,475.0394592285156,430.2571716308594,454.8082580566406,452.16741943359375,441.9740295410156,442.6064453125,488.48370361328125,454.431640625,408.4549560546875,388.9359130859375,425.3851318359375,399.62158203125,427.13079833984375,429.336181640625,464.89666748046875,480.97216796875,473.58380126953125,390.2536926269531,422.322265625,433.7102966308594,439.329345703125,489.7781066894531,453.72705078125,435.845947265625,524.231201171875,521.3924560546875
1,287.0093994140625,519.7431640625,431.57867431640625,449.2567138671875,466.2297058105469,422.2455749511719,480.1686096191406,455.263671875,437.5047607421875,456.802490234375,446.99322509765625,454.2574768066406,415.4290771484375,412.9576110839844,429.3778991699219,379.1302490234375,428.8294982910156,436.7066650390625,476.82373046875,507.68731689453125,457.27978515625,406.326171875,412.9130859375,450.90618896484375,462.0934753417969,482.02044677734375,473.134765625,437.016357421875,523.2371826171875,507.1700439453125
2,272.1001892089844,546.4519653320312,465.30322265625,459.6240539550781,443.4059143066406,420.7195129394531,448.9051208496094,429.1698303222656,444.9498291015625,454.90863037109375,472.25323486328125,476.21197509765625,444.0126037597656,398.2095947265625,459.2992248535156,414.3868713378906,417.9429931640625,448.10662841796875,492.3311767578125,518.2696533203125,472.3619079589844,418.37298583984375,424.2860107421875,445.4358825683594,455.5164794921875,484.81219482421875,448.081298828125,452.55694580078125,523.1739501953125,550.1873168945312
3,291.23974609375,552.2605590820312,454.9412841796875,439.6176452636719,488.67596435546875,446.73040771484375,484.6327209472656,449.81219482421875,427.2904357910156,462.20556640625,463.7845153808594,466.82000732421875,413.8095703125,427.5323486328125,434.46923828125,400.9670104980469,449.11529541015625,458.8245849609375,486.2137451171875,484.0846252441406,469.49853515625,419.19415283203125,417.19525146484375,458.52203369140625,473.78668212890625,492.9088134765625,461.0972900390625,438.66778564453125,523.83447265625,525.8956298828125
4,280.5574951171875,556.4618530273438,419.80499267578125,430.30340576171875,475.135009765625,438.4583435058594,474.9798278808594,432.6631774902344,449.74200439453125,446.5268249511719,493.2901611328125,467.0677795410156,450.2622985839844,393.859130859375,448.4319763183594,391.336181640625,460.4857177734375,440.0826110839844,474.31854248046875,489.43170166015625,480.1317138671875,425.0080871582031,426.63092041015625,466.4526672363281,473.0054626464844,495.0079345703125,486.20587158203125,469.792236328125,525.3673095703125,514.568603515625
5,255.92112731933594,521.9365234375,432.6466064453125,392.41754150390625,462.10858154296875,446.5314636230469,462.5970458984375,438.8316650390625,425.7388916015625,432.29833984375,456.32244873046875,442.1789855957031,427.63958740234375,392.818603515625,446.0310974121094,389.1856384277344,425.8319091796875,443.4805908203125,500.88128662109375,496.01043701171875,456.13665771484375,409.76220703125,392.5511169433594,436.493896484375,436.3831481933594,475.4785461425781,459.16259765625,442.5631103515625,504.4248046875,503.6337890625
6,279.8841857910156,524.6492919921875,475.1683349609375,452.47967529296875,475.85015869140625,422.6046142578125,476.74969482421875,461.408447265625,424.001953125,445.30242919921875,479.08056640625,457.0318603515625,424.9581298828125,424.1444091796875,462.9041442871094,404.971435546875,440.5704040527344,427.25042724609375,468.2626953125,505.16229248046875,470.41375732421875,428.09442138671875,410.2566833496094,459.6747741699219,459.28240966796875,469.6890869140625,463.56317138671875,438.4572448730469,530.98583984375,517.6513061523438
7,277.4354248046875,549.2972412109375,461.38775634765625,409.25506591796875,473.0740966796875,415.56317138671875,448.78515625,451.3582763671875,410.9916687011719,445.50714111328125,485.8452453613281,455.4825744628906,440.43609619140625,406.5215148925781,428.3175048828125,377.5081787109375,409.27923583984375,427.53887939453125,495.4805603027344,460.52862548828125,487.6407165527344,430.083251953125,401.3248291015625,438.4415283203125,458.437744140625,459.8414306640625,441.8758239746094,430.2378845214844,547.1701049804688,501.87347412109375
8,274.04083251953125,551.8162841796875,431.0193786621094,449.27032470703125,487.0621643066406,441.33380126953125,432.7505187988281,439.26708984375,415.5237731933594,433.84197998046875,484.56683349609375,463.39599609375,405.82122802734375,401.62982177734375,430.6795654296875,382.12750244140625,436.8524475097656,440.41448974609375,476.0653381347656,478.77166748046875,464.6437683105469,413.5166015625,401.0653381347656,457.2290954589844,462.3644714355469,475.3876037597656,444.7038879394531,431.2378845214844,507.0601806640625,503.4426574707031
9,268.2214050292969,545.752197265625,452.5420837402344,413.21807861328125,454.3067932128906,433.56549072265625,451.18231201171875,437.9133605957031,441.2292175292969,454.9751281738281,493.63092041015625,462.7618713378906,414.4156494140625,393.29278564453125,423.90045166015625,396.3995056152344,444.82806396484375,429.1768798828125,490.5084533691406,487.44439697265625,472.8921203613281,423.5413818359375,429.90264892578125,450.6174011230469,455.12469482421875,474.38739013671875,458.12799072265625,446.83367919921875,541.2491455078125,501.48480224609375
